,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Merge Frequency,Comments Number,Commits number,Stars,Forks,size,contributor,average_additions,average_deletions,average_pr_changed_files,average_pr_commits_count,average_total_comments,merged_average_additions,merged_average_deletions,merged_average_pr_changed_files,merged_average_pr_commits_count,merged_average_total_comments
53,apache/Pinot,1,10/17/18,7/21/21,6488,5927,11/10/14 22:32,191,40042,8339,3651,784,229062,187,567.0687458,361.2152918,15.45171026,2.629107981,7.022468142,468.1640798,360.0055432,13.8263119,2.440872136,2.755358463
54,apache/PLC4X,1,12/18/17,4/17/19,269,211,1/8/18 16:52,17,959,4412,420,176,134791,47,720.6315789,263.8070175,21.05263158,6.140350877,4.421052632,427.5897436,106.4871795,13.8974359,3.615384615,3.230769231
55,apache/PredictionIO,1,5/26/16,10/18/17,407,192,10/24/13 11:09,24,1275,4495,12519,2021,36295,133,333.5986842,742.2828947,23.25,4.0,3.605263158,408.5384615,159.8461538,53.23076923,5.538461538,5.846153846
56,apache/Ranger,1,7/24/14,1/18/17,38,0,1/8/15 7:54,1,177,3707,552,570,102045,79,72300.75,2617.0,146.5,44.0,1.5,0.0,0.0,0.0,0.0,0.0
57,apache/Ratis,1,1/3/17,2/17/21,502,396,5/23/18 6:29,10,2468,1202,593,214,7243,53,110.0098765,55.87160494,7.24691358,2.669135802,4.935802469,101.039604,46.78547855,7.491749175,2.630363036,4.277227723
58,apache/REEF,1,8/12/14,11/18/15,1496,38,10/23/14 16:36,94,21798,3875,95,104,40208,67,428.7596302,115.8967643,23.45454545,2.177195686,13.48690293,79.2,64.4,12.0,1.0,17.2
59,apache/RocketMQ,1,11/21/16,9/20/17,1542,696,12/21/16 10:23,154,10335,1844,15836,8794,10864,287,461.9700599,58.73053892,12.26347305,4.54491018,12.14371257,220.0,67.0,13.25,14.5,29.25
60,apache/Rya,1,9/18/15,9/18/19,307,36,11/22/15 21:20,6,3415,460,101,78,8748,26,2381.146179,3246.936877,46.25581395,2.870431894,11.00332226,2261.794118,2633.735294,60.11764706,1.882352941,2.705882353
61,apache/ShardingSphere,1,11/10/18,4/16/20,7786,7061,1/31/16 13:13,433,30948,30672,14814,5129,434276,315,1508.650132,770.139314,36.38627968,27.75461741,2.193139842,966.6642643,684.751952,32.1015015,19.99159159,2.345945946
62,apache/SINGA,1,3/17/15,10/16/19,811,623,5/16/15 16:19,15,2923,2360,2380,703,19708,56,1093.571157,1104.97723,18.08728653,6.049335863,2.309297913,474.6035806,349.4092072,8.667519182,2.547314578,1.115089514
63,apache/SkyWalking,1,12/8/17,4/17/19,3845,3328,3/28/16 12:26,226,36478,6825,18092,5339,161191,378,592.6080306,482.957935,23.17304015,5.284894837,3.352772467,314.4055794,334.8551502,18.05579399,4.41416309,4.729613734
64,apache/Storm,1,9/18/13,9/17/14,3375,2607,12/11/13 18:27,281,26628,10461,6294,4076,205453,281,1375.539063,121.6679688,13.33984375,25.9609375,7.078125,1507.757732,70.57731959,13.87628866,32.58247423,11.94845361
65,apache/Streams,1,11/20/12,7/19/17,514,410,4/22/14 17:49,9,1265,1781,69,42,147991,17,1113.800539,465.4959569,22.11859838,7.708894879,3.123989218,431.4693141,379.9819495,14.84115523,3.028880866,3.299638989
66,apache/Superset,1,5/21/17,11/19/20,9395,7773,7/23/15 6:12,224,60503,8586,40000,8100,282442,440,3614.447332,758.6495373,20.60563103,6.835991337,4.922228785,821.5877601,725.7542228,6.421787026,3.222276622,5.10746634
67,apache/SystemML,1,11/2/15,5/18/17,1428,108,11/20/15 21:50,75,8234,7578,881,405,328115,123,741.5079681,492.3784861,19.58565737,3.011952191,6.362549801,286.75,302.0,14.0,1.0,2.5
68,apache/phoenix-tephra,1,3/7/16,11/15/19,90,1,9/2/16 22:47,2,620,419,28,50,5392,22,880.5333333,100.68,12.04,1.186666667,7.92,21.0,21.0,21.0,2.0,0.0
69,apache/TinkerPop,1,1/16/15,5/23/16,1475,1133,2/8/15 1:24,87,7559,17709,1427,681,173609,143,385.7563291,162.2246835,26.38291139,4.547468354,3.870253165,352.5889831,111.7457627,17.46610169,4.127118644,6.847457627
70,apache/trafficcontrol,1,7/12/16,5/16/18,4133,3093,10/17/16 16:56,180,28229,11685,671,282,107999,109,1400.079406,310.7779212,18.11878631,5.331181407,3.490639122,621.9508427,262.2837079,11.76264045,3.084269663,6.741573034
71,apache/Trafodion,1,5/24/15,12/20/17,1850,1654,6/20/15 3:00,60,16667,7254,243,159,88977,69,969.1554404,709.3871207,21.31976314,2.965210955,9.25980755,909.2043551,471.2102178,22.01423786,2.639865997,12.97319933
72,apache/TVM,1,3/6/19,11/18/20,7309,6557,12/11/16 19:05,348,63214,7006,7333,2257,51155,398,658.2704005,249.1496537,13.25323698,6.310147546,7.527250828,240.6874576,131.5759322,9.5,3.949491525,6.214237288
73,apache/Unomi,1,10/5/15,2/20/19,357,299,4/25/16 7:31,9,783,2388,178,91,14941,39,443.2162162,71.41891892,7.972972973,3.175675676,1.216216216,504.0952381,70.47619048,8.523809524,3.222222222,0.984126984
74,apache/Usergrid,1,10/3/13,8/19/15,599,465,11/25/13 17:57,26,676,10954,997,438,383452,78,2827.712251,2360.954416,39.60683761,24.45584046,1.202279202,1684.32567,2572.16092,22.38314176,9.77394636,1.22605364
75,apache/Zeppelin,1,12/23/14,5/18/16,4177,26,3/25/15 9:03,246,29654,5011,5474,2560,98711,322,369.8955056,95.62022472,8.588764045,5.239325843,8.034831461,0.0,0.0,0.0,0.0,0.0
76,apache/incubator-retired-amaterasu,2,9/7/17,9/18/19,58,47,10/30/17 6:10,2,86,811,56,25,4663,16,430.5789474,398.7368421,25.22807018,10.63157895,1.333333333,404.326087,380.1304348,24.47826087,11.26086957,0.434782609
77,apache/incubator-ariatosca,2,8/27/16,7/1/18,229,170,10/18/16 8:32,10,1678,190,28,46,1745,12,613.6331878,260.7554585,15.09606987,1.187772926,7.323144105,497.3117647,208.5,14.28823529,1.023529412,1.776470588
78,apache/incubator-retired-blur,2,7/24/12,6/22/17,5,0,6/22/14 11:02,0,10,5242,32,32,53376,15,197.2,34.4,2.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0
