,Project Full Name,Project Status,Project Startdate,Project Enddate,First PR Created Time,PR Number,Merged PR Number,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor,average_additions,average_deletions,average_pr_changed_files,average_pr_commits_count,average_total_comments,merged_average_additions,merged_average_deletions,merged_average_pr_changed_files,merged_average_pr_commits_count,merged_average_pr_comments_count,merged_average_pr_review_coments_count,merged_average_total_comments
53,apache/Pinot,1,10/17/18,7/21/21,11/10/14 22:32,6488,5927,191,11092,28950,8339,3651,784,229062,187,567.0687458,361.2152918,15.45171026,2.629107981,7.022468142,468.1640798,360.0055432,13.8263119,2.440872136,1.377679231,1.377679231,2.755358463
54,apache/PLC4X,1,12/18/17,4/17/19,1/8/18 16:52,269,211,17,401,558,4412,420,176,134791,47,720.6315789,263.8070175,21.05263158,6.140350877,4.421052632,427.5897436,106.4871795,13.8974359,3.615384615,1.615384615,1.615384615,3.230769231
55,apache/PredictionIO,1,5/26/16,10/18/17,10/24/13 11:09,407,192,24,905,370,4495,12519,2021,36295,133,333.5986842,742.2828947,23.25,4.0,3.605263158,408.5384615,159.8461538,53.23076923,5.538461538,2.923076923,2.923076923,5.846153846
56,apache/Ranger,1,7/24/14,1/18/17,1/8/15 7:54,38,0,1,162,15,3707,552,570,102045,79,72300.75,2617.0,146.5,44.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,apache/Ratis,1,1/3/17,2/17/21,5/23/18 6:29,502,396,10,1190,1278,1202,593,214,7243,53,110.0098765,55.87160494,7.24691358,2.669135802,4.935802469,101.039604,46.78547855,7.491749175,2.630363036,2.138613861,2.138613861,4.277227723
58,apache/REEF,1,8/12/14,11/18/15,10/23/14 16:36,1496,38,94,9098,12700,3875,95,104,40208,67,428.7596302,115.8967643,23.45454545,2.177195686,13.48690293,79.2,64.4,12.0,1.0,8.6,8.6,17.2
59,apache/RocketMQ,1,11/21/16,9/20/17,12/21/16 10:23,1542,696,154,8527,1808,1844,15836,8794,10864,287,461.9700599,58.73053892,12.26347305,4.54491018,12.14371257,220.0,67.0,13.25,14.5,14.625,14.625,29.25
60,apache/Rya,1,9/18/15,9/18/19,11/22/15 21:20,307,36,6,1238,2177,460,101,78,8748,26,2381.146179,3246.936877,46.25581395,2.870431894,11.00332226,2261.794118,2633.735294,60.11764706,1.882352941,1.352941176,1.352941176,2.705882353
61,apache/ShardingSphere,1,11/10/18,4/16/20,1/31/16 13:13,7786,7061,433,25329,5619,30672,14814,5129,434276,315,1508.650132,770.139314,36.38627968,27.75461741,2.193139842,966.6642643,684.751952,32.1015015,19.99159159,1.172972973,1.172972973,2.345945946
62,apache/SINGA,1,3/17/15,10/16/19,5/16/15 16:19,811,623,15,1647,1276,2360,2380,703,19708,56,1093.571157,1104.97723,18.08728653,6.049335863,2.309297913,474.6035806,349.4092072,8.667519182,2.547314578,0.557544757,0.557544757,1.115089514
63,apache/SkyWalking,1,12/8/17,4/17/19,3/28/16 12:26,3845,3328,226,26413,10065,6825,18092,5339,161191,378,592.6080306,482.957935,23.17304015,5.284894837,3.352772467,314.4055794,334.8551502,18.05579399,4.41416309,2.364806867,2.364806867,4.729613734
64,apache/Storm,1,9/18/13,9/17/14,12/11/13 18:27,3375,2607,281,14429,12199,10461,6294,4076,205453,281,1375.539063,121.6679688,13.33984375,25.9609375,7.078125,1507.757732,70.57731959,13.87628866,32.58247423,5.974226804,5.974226804,11.94845361
65,apache/Streams,1,11/20/12,7/19/17,4/22/14 17:49,514,410,9,673,592,1781,69,42,147991,17,1113.800539,465.4959569,22.11859838,7.708894879,3.123989218,431.4693141,379.9819495,14.84115523,3.028880866,1.649819495,1.649819495,3.299638989
66,apache/Superset,1,5/21/17,11/19/20,7/23/15 6:12,9395,7773,224,40000,20503,8586,40000,8100,282442,440,3614.447332,758.6495373,20.60563103,6.835991337,4.922228785,821.5877601,725.7542228,6.421787026,3.222276622,2.55373317,2.55373317,5.10746634
67,apache/SystemML,1,11/2/15,5/18/17,11/20/15 21:50,1428,108,75,5440,2794,7578,881,405,328115,123,741.5079681,492.3784861,19.58565737,3.011952191,6.362549801,286.75,302.0,14.0,1.0,1.25,1.25,2.5
68,apache/phoenix-tephra,1,3/7/16,11/15/19,9/2/16 22:47,90,1,2,191,429,419,28,50,5392,22,880.5333333,100.68,12.04,1.186666667,7.92,21.0,21.0,21.0,2.0,0.0,0.0,0.0
