,Unnamed: 0,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor,average_additions,average_deletions,average_pr_changed_files,average_pr_commits_count,average_pr_comments_count,average_pr_review_coments_count,average_total_comments,merged_average_additions,merged_average_deletions,merged_average_pr_changed_files,merged_average_pr_commits_count,merged_average_pr_comments_count,merged_average_pr_review_coments_count,merged_average_total_comments
35,39,apache/Iceberg,1,11/16/18,5/20/20,2077,1754,11/20/18 17:05,0,109,12580,24661,2024,2129,814,23991,188,1000.538012,89.91520468,11.71052632,3.675438596,3.473684211,8.426900585,11.9005848,1080.175532,76.74468085,9.907801418,3.586879433,3.164893617,3.164893617,6.329787234
36,40,apache/Ignite,1,10/1/14,9/18/15,8733,1057,4/24/15 17:29,0,728,2806,17243,27765,4009,1723,407252,253,2669.757576,96.62626263,21.92929293,11.86868687,0.303030303,0.01010101,0.313131313,55.72727273,10.81818182,2.181818182,1.181818182,0.0,0.0,0.0
37,41,apache/Impala,1,12/3/15,11/15/17,22,0,1/27/17 14:45,0,1,26,0,9990,712,338,195391,143,137.8571429,34.28571429,12.0,3.285714286,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,42,apache/IoTDB,1,11/18/18,9/18/20,3817,3285,1/17/19 18:06,0,166,4891,11124,5361,1642,505,61664,148,581.502706,401.1912207,18.35237523,11.90138304,0.920024053,4.320505111,5.240529164,379.77433,308.461213,13.54795487,8.052186178,0.912552891,0.912552891,1.825105783
39,43,apache/Johnzon,1,6/9/14,4/20/16,54,35,1/12/15 12:41,0,2,266,113,838,37,60,2977,22,18.0,0.5,3.5,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,44,apache/Joshua,1,2/13/16,10/17/18,85,74,3/31/16 9:03,0,3,241,58,4256,92,64,362742,35,753.9113924,1157.329114,43.70886076,3.367088608,2.886075949,0.734177215,3.620253165,778.9411765,884.1323529,29.07352941,3.308823529,2.691176471,2.691176471,5.382352941
41,45,apache/Juneau,1,6/24/16,10/18/17,55,50,5/24/17 1:14,0,3,103,19,2726,68,39,332880,15,6.333333333,1.333333333,1.333333333,1.0,0.0,2.666666667,2.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,46,apache/Kafka,1,7/4/11,10/23/12,10510,4935,8/14/12 19:28,0,657,40000,94216,9528,20313,10725,131605,337,35.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,47,apache/Knox,1,2/22/13,2/19/14,491,419,10/13/14 5:31,0,41,549,1761,2558,125,200,20808,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,48,apache/Kylin,1,11/25/14,11/18/15,1713,1320,1/16/15 7:22,0,143,4348,965,8711,3189,1422,305022,187,84843.23077,14679.15385,273.3076923,69.46153846,1.230769231,0.0,1.230769231,434.5,124.0,15.5,1.0,0.0,0.0,0.0
