,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor,average_additions,average_deletions,average_pr_changed_files,average_pr_commits_count,average_pr_comments_count,average_pr_review_coments_count,average_total_comments,merged_average_additions,merged_average_deletions,merged_average_pr_changed_files,merged_average_pr_commits_count,merged_average_pr_comments_count,merged_average_pr_review_coments_count,merged_average_total_comments
56,apache/Metron,1,12/6/15,4/19/17,1558,9,12/9/15 19:24,0,0,8763,5614,1453,832,507,97572,60,1418.063551401869,819.0672897196262,30.254205607476635,8.142056074766355,5.671028037383177,3.502803738317757,9.173831775700934,7557.833333333333,1098.8333333333333,155.83333333333334,2.6666666666666665,10.333333333333334,10.333333333333334,20.666666666666668
57,apache/Mnemonic,1,3/3/16,11/15/17,233,208,3/30/16 5:36,0,0,80,59,611,101,59,2991,19,329.7012987012987,105.67532467532467,8.194805194805195,1.5194805194805194,0.23376623376623376,0.33766233766233766,0.5714285714285714,312.83870967741933,122.91935483870968,7.612903225806452,1.032258064516129,0.1774193548387097,0.1774193548387097,0.3548387096774194
58,apache/mynewt-core,1,10/20/15,6/21/17,2507,2243,2/17/16 0:44,0,0,3138,2939,10279,679,325,176268,110,4964.567251461988,746.5029239766081,26.84795321637427,7.350877192982456,1.1111111111111112,0.6871345029239766,1.7982456140350878,4372.01646090535,190.10699588477365,14.164609053497943,4.790123456790123,0.8106995884773662,0.8106995884773662,1.6213991769547325
59,apache/NetBeans,1,10/1/16,4/17/19,3214,2712,9/16/17 17:26,0,0,9348,5294,6126,1717,647,345316,170,24970.88740617181,1092.4045037531275,266.97581317764804,4.309424520433695,3.0992493744787324,1.4103419516263553,4.509591326105088,4732.054470709147,1099.311408016444,165.5436793422405,2.4398766700924974,2.734840698869476,2.734840698869476,5.469681397738952
60,apache/NiFi,1,11/24/14,7/15/15,5419,353,12/20/14 3:49,0,0,16135,18131,6860,2865,2140,190504,318,779.2428571428571,1148.7142857142858,21.357142857142858,6.771428571428571,2.4,1.7428571428571429,4.142857142857142,341.4390243902439,267.3414634146341,9.073170731707316,3.926829268292683,1.7804878048780488,1.7804878048780488,3.5609756097560976
61,apache/olingo-odata4,1,7/8/13,3/19/14,40,21,8/8/14 23:58,0,0,59,15,1895,116,155,53661,25,0,0,0,0,0,0,4.142857142857142,0,0,0,0,0,0,0
62,apache/phoenix-omid,1,3/28/16,11/15/19,82,11,6/3/16 20:57,0,0,53,155,1315,69,43,4810,17,542.2222222222222,172.0888888888889,15.244444444444444,4.4222222222222225,0.1111111111111111,2.088888888888889,2.2,1250.5,322.75,26.5,8.625,0.0,0.0,0.0
63,apache/climate,1,2/15/13,2/19/14,527,451,3/8/14 21:01,0,0,1925,101,2241,134,112,35741,24,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0
64,apache/OpenWhisk,1,11/23/16,7/17/19,3195,2082,2/19/16 19:19,0,0,17539,11526,2928,5458,1051,68282,188,133.53262518968134,93.75366717248356,6.009104704097117,2.862923621648963,3.615073343449671,3.805766312594841,7.420839656044512,130.41277472527472,99.69986263736264,5.864010989010989,2.6346153846153846,3.4512362637362637,3.4512362637362637,6.902472527472527
65,apache/parquet-cpp,1,5/20/14,4/22/15,496,0,10/28/14 19:15,0,0,1812,2481,502,360,184,2700,28,557.0,388.42857142857144,8.285714285714286,2.0,2.0,1.2857142857142858,3.2857142857142856,0,0,0,0,0,0,0
66,apache/Phoenix,1,12/11/13,5/21/14,1083,303,7/4/14 10:53,0,0,3374,8233,3573,904,922,72459,109,0,0,0,0,0,0,3.2857142857142856,0,0,0,0,0,0,0
67,apache/Pinot,1,10/17/18,7/21/21,6488,5927,11/10/14 22:32,0,0,11092,28950,8339,3651,784,229062,187,567.0687458081825,361.215291750503,15.451710261569417,2.6291079812206575,1.472166331321261,5.550301810865191,7.022468142186452,468.16407982261643,360.00554323725055,13.826311899482631,2.4408721359940873,1.377679231337768,1.377679231337768,2.755358462675536
68,apache/PLC4X,1,12/18/17,4/17/19,269,211,1/8/18 16:52,0,0,401,558,4412,420,176,134791,47,720.6315789473684,263.8070175438597,21.05263157894737,6.140350877192983,1.6666666666666667,2.754385964912281,4.421052631578948,427.5897435897436,106.48717948717949,13.897435897435898,3.6153846153846154,1.6153846153846154,1.6153846153846154,3.230769230769231
69,apache/PredictionIO,1,5/26/16,10/18/17,407,192,10/24/13 11:09,0,0,905,370,4495,12519,2021,36295,133,333.5986842105263,742.2828947368421,23.25,4.0,2.6973684210526314,0.9078947368421053,3.6052631578947367,408.53846153846155,159.84615384615384,53.23076923076923,5.538461538461538,2.923076923076923,2.923076923076923,5.846153846153846
71,apache/Ranger,1,7/24/14,1/18/17,38,0,1/8/15 7:54,0,0,162,15,3707,552,570,102045,79,72300.75,2617.0,146.5,44.0,1.5,0.0,1.5,0,0,0,0,0,0,0
