,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor
68,apache/PLC4X,1,12/18/17,4/17/19,269,211,1/8/18 16:52,0,0,401,558,4412,420,176,134791,47
69,apache/PredictionIO,1,5/26/16,10/18/17,407,192,10/24/13 11:09,0,0,905,370,4495,12519,2021,36295,133
70,apache/Pulsar,1,6/1/17,9/19/18,8379,7569,9/7/16 18:52,0,0,38584,19962,7755,9857,2472,1326009,408
71,apache/Ranger,1,7/24/14,1/18/17,38,0,1/8/15 7:54,0,0,162,15,3707,552,570,102045,79
72,apache/Ratis,1,1/3/17,2/17/21,502,396,5/23/18 6:29,0,0,1190,1278,1202,593,214,7243,53
73,apache/REEF,1,8/12/14,11/18/15,1496,38,10/23/14 16:36,0,0,9098,12700,3875,95,104,40208,67
74,apache/RocketMQ,1,11/21/16,9/20/17,1542,696,12/21/16 10:23,0,0,8527,1808,1844,15836,8794,10864,287
75,apache/Rya,1,9/18/15,9/18/19,307,36,11/22/15 21:20,0,0,1238,2177,460,101,78,8748,26
76,apache/Samza,1,7/30/13,1/21/15,1506,499,4/15/15 8:41,0,0,1851,15928,2410,705,294,33226,124
77,apache/servicecomb-java-chassis,1,11/22/17,10/17/18,1647,1395,5/19/17 2:59,0,0,5370,3859,3056,1733,730,18218,101
78,apache/ShardingSphere,1,11/10/18,4/16/20,7786,7061,1/31/16 13:13,0,0,25329,5619,30672,14814,5129,434276,315
79,apache/SINGA,1,3/17/15,10/16/19,811,623,5/16/15 16:19,0,0,1647,1276,2360,2380,703,19708,56
80,apache/SkyWalking,1,12/8/17,4/17/19,3845,3328,3/28/16 12:26,0,0,26413,10065,6825,18092,5339,161191,378
81,apache/Spark,1,6/19/13,2/19/14,34300,5,2/25/14 23:57,0,0,0,0,0,0,0,396766,327
82,apache/Sqoop,1,6/13/11,3/21/12,64,15,6/15/12 0:33,0,0,115,104,969,863,532,18789,23
83,apache/Storm,1,9/18/13,9/17/14,3375,2607,12/11/13 18:27,0,0,14429,12199,10461,6294,4076,205453,281
84,apache/Stratos,1,6/20/13,5/21/14,498,200,6/22/14 10:01,0,0,348,440,8951,152,111,67395,49
85,apache/Streams,1,11/20/12,7/19/17,514,410,4/22/14 17:49,0,0,673,592,1781,69,42,147991,17
86,apache/Superset,1,5/21/17,11/19/20,9395,7773,7/23/15 6:12,0,0,40000,20503,8586,40000,8100,282442,440
87,apache/SystemML,1,11/2/15,5/18/17,1428,108,11/20/15 21:50,0,0,5440,2794,7578,881,405,328115,123
88,apache/phoenix-tephra,1,3/7/16,11/15/19,90,1,9/2/16 22:47,0,0,191,429,419,28,50,5392,22
89,apache/Tez,1,2/24/13,7/16/14,112,47,8/7/14 18:43,0,0,376,167,2853,343,326,28735,39
90,apache/TinkerPop,1,1/16/15,5/23/16,1475,1133,2/8/15 1:24,0,0,5761,1798,17709,1427,681,173609,143
91,apache/trafficcontrol,1,7/12/16,5/16/18,4133,3093,10/17/16 16:56,0,0,14082,14147,11685,671,282,107999,109
