,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor
94,apache/Kafka,1,7/4/2011,10/23/2012,0,0,,0,0,0,0,0,0,0,0,0
95,apache/Knox,1,2/22/2013,2/19/2014,0,0,,0,0,0,0,0,0,0,0,0
96,apache/Kudu,1,12/3/2015,7/20/2016,0,0,,0,0,0,0,0,0,0,0,0
97,apache/Kylin,1,11/25/2014,11/18/2015,0,0,,0,0,0,0,0,0,0,0,0
98,apache/Lens,1,10/10/2014,8/19/2015,0,0,,0,0,0,0,0,0,0,0,0
99,apache/Lenya,1,3/15/2003,8/18/2004,0,0,,0,0,0,0,0,0,0,0,0
100,apache/Libcloud,1,11/1/2009,5/19/2011,0,0,,0,0,0,0,0,0,0,0,0
101,apache/log4cxx,1,1/31/2004,1/11/2005,0,0,,0,0,0,0,0,0,0,0,0
102,apache/Lucene.NET,1,2/5/2011,8/15/2012,0,0,,0,0,0,0,0,0,0,0,0
103,apache/Lucy,1,7/22/2010,2/22/2012,0,0,,0,0,0,0,0,0,0,0,0
104,apache/MADlib,1,9/15/2015,7/19/2017,0,0,,0,0,0,0,0,0,0,0,0
105,apache/ManifoldCF,1,1/10/2010,5/16/2012,0,0,,0,0,0,0,0,0,0,0,0
106,apache/Marmotta,1,12/3/2012,11/20/2013,0,0,,0,0,0,0,0,0,0,0,0
107,apache/Mesos,1,12/23/2010,6/19/2013,0,0,,0,0,0,0,0,0,0,0,0
108,apache/MetaModel,1,6/12/2013,11/20/2014,0,0,,0,0,0,0,0,0,0,0,0
109,apache/Metron,1,12/6/2015,4/19/2017,0,0,,0,0,0,0,0,0,0,0,0
110,apache/Mnemonic,1,3/3/2016,11/15/2017,0,0,,0,0,0,0,0,0,0,0,0
111,apache/MRUnit,1,3/8/2011,5/16/2012,0,0,,0,0,0,0,0,0,0,0,0
112,apache/MyFaces,1,7/16/2004,3/9/2005,0,0,,0,0,0,0,0,0,0,0,0
113,apache/mynewt-core,1,10/20/2015,6/21/2017,0,0,,0,0,0,0,0,0,0,0,0
114,apache/NetBeans,1,10/1/2016,4/17/2019,0,0,,0,0,0,0,0,0,0,0,0
115,apache/NiFi,1,11/24/2014,7/15/2015,0,0,,0,0,0,0,0,0,0,0,0
116,apache/Nutch,1,1/15/2005,6/1/2005,0,0,,0,0,0,0,0,0,0,0,0
117,apache/Nuvem,1,6/24/2010,11/29/2012,0,0,,0,0,0,0,0,0,0,0,0
118,apache/Ode,1,2/17/2006,7/18/2007,0,0,,0,0,0,0,0,0,0,0,0
119,apache/OFBiz,1,1/31/2006,12/20/2006,0,0,,0,0,0,0,0,0,0,0,0
120,apache/commons-ognl,1,4/26/2011,8/30/2011,0,0,,0,0,0,0,0,0,0,0,0
121,apache/olingo-odata4,1,7/8/2013,3/19/2014,0,0,,0,0,0,0,0,0,0,0,0
122,apache/phoenix-omid,1,3/28/2016,11/15/2019,0,0,,0,0,0,0,0,0,0,0,0
123,apache/Onami,1,11/14/2012,4/17/2013,0,0,,0,0,0,0,0,0,0,0,0
124,apache/OODT,1,1/21/2010,11/17/2010,0,0,,0,0,0,0,0,0,0,0,0
125,apache/Oozie,1,7/11/2011,8/28/2012,0,0,,0,0,0,0,0,0,0,0,0
126,apache/climate,1,2/15/2013,2/19/2014,0,0,,0,0,0,0,0,0,0,0,0
127,apache/OpenEJB,1,7/5/2006,5/16/2007,0,0,,0,0,0,0,0,0,0,0,0
128,apache/OpenJPA,1,4/10/2006,5/16/2007,0,0,,0,0,0,0,0,0,0,0,0
129,apache/Openmeetings,1,11/12/2011,1/18/2013,0,0,,0,0,0,0,0,0,0,0,0
130,apache/OpenNLP,1,11/23/2010,2/15/2012,0,0,,0,0,0,0,0,0,0,0,0
131,apache/openoffice,1,6/13/2011,10/17/2012,0,0,,0,0,0,0,0,0,0,0,0
132,apache/OpenWebBeans,1,10/26/2008,12/17/2009,0,0,,0,0,0,0,0,0,0,0,0
133,apache/OpenWhisk,1,11/23/2016,7/17/2019,0,0,,0,0,0,0,0,0,0,0,0
134,apache/parquet-cpp,1,5/20/2014,4/22/2015,0,0,,0,0,0,0,0,0,0,0,0
135,apache/PDFBox,1,2/7/2008,10/21/2009,0,0,,0,0,0,0,0,0,0,0,0
136,apache/Phoenix,1,12/11/2013,5/21/2014,0,0,,0,0,0,0,0,0,0,0,0
137,apache/Pig,1,10/2/2007,10/22/2008,0,0,,0,0,0,0,0,0,0,0,0
138,apache/Pinot,1,10/17/2018,7/21/2021,0,0,,0,0,0,0,0,0,0,0,0
139,apache/Pivot,1,1/26/2009,12/16/2009,0,0,,0,0,0,0,0,0,0,0,0
140,apache/PLC4X,1,12/18/2017,4/17/2019,0,0,,0,0,0,0,0,0,0,0,0
141,apache/Pluto,1,9/30/2003,5/15/2004,0,0,,0,0,0,0,0,0,0,0,0
142,apache/PredictionIO,1,5/26/2016,10/18/2017,0,0,,0,0,0,0,0,0,0,0,0
143,apache/Pulsar,1,6/1/2017,9/19/2018,0,0,,0,0,0,0,0,0,0,0,0
144,apache/Qpid,1,8/27/2006,12/18/2008,0,0,,0,0,0,0,0,0,0,0,0
145,apache/Ranger,1,7/24/2014,1/18/2017,0,0,,0,0,0,0,0,0,0,0,0
146,apache/creadur-rat,1,1/6/2008,4/18/2012,0,0,,0,0,0,0,0,0,0,0,0
147,apache/Ratis,1,1/3/2017,2/17/2021,0,0,,0,0,0,0,0,0,0,0,0
148,apache/Rave,1,3/1/2011,3/21/2012,0,0,,0,0,0,0,0,0,0,0,0
149,apache/REEF,1,8/12/2014,11/18/2015,0,0,,0,0,0,0,0,0,0,0,0
150,apache/RocketMQ,1,11/21/2016,9/20/2017,0,0,,0,0,0,0,0,0,0,0,0
151,apache/Roller,1,6/20/2005,2/21/2007,0,0,,0,0,0,0,0,0,0,0,0
152,apache/Rya,1,9/18/2015,9/18/2019,0,0,,0,0,0,0,0,0,0,0,0
153,apache/Samza,1,7/30/2013,1/21/2015,0,0,,0,0,0,0,0,0,0,0,0
154,apache/Sanselan,1,9/9/2007,6/30/2009,0,0,,0,0,0,0,0,0,0,0,0
155,apache/Sentry,1,8/8/2013,3/16/2016,0,0,,0,0,0,0,0,0,0,0,0
156,apache/servicecomb-java-chassis,1,11/22/2017,10/17/2018,0,0,,0,0,0,0,0,0,0,0,0
157,apache/ServiceMix,1,12/1/2005,9/19/2007,0,0,,0,0,0,0,0,0,0,0,0
158,apache/ShardingSphere,1,11/10/2018,4/16/2020,0,0,,0,0,0,0,0,0,0,0,0
159,apache/Shindig,1,12/3/2007,1/21/2010,0,0,,0,0,0,0,0,0,0,0,0
160,apache/Shiro,1,5/20/2008,9/22/2010,0,0,,0,0,0,0,0,0,0,0,0
161,apache/SINGA,1,3/17/2015,10/16/2019,0,0,,0,0,0,0,0,0,0,0,0
162,apache/SIS,1,2/21/2010,9/19/2012,0,0,,0,0,0,0,0,0,0,0,0
163,apache/SkyWalking,1,12/8/2017,4/17/2019,0,0,,0,0,0,0,0,0,0,0,0
164,apache/Sling,1,9/9/2007,6/17/2009,0,0,,0,0,0,0,0,0,0,0,0
165,apache/Solr,1,1/17/2006,1/17/2007,0,0,,0,0,0,0,0,0,0,0,0
166,apache/SpamAssassin,1,12/20/2003,6/23/2004,0,0,,0,0,0,0,0,0,0,0,0
167,apache/Spark,1,6/19/2013,2/19/2014,0,0,,0,0,0,0,0,0,0,0,0
168,apache/Sqoop,1,6/13/2011,3/21/2012,0,0,,0,0,0,0,0,0,0,0,0
169,apache/Stanbol,1,11/15/2010,9/19/2012,0,0,,0,0,0,0,0,0,0,0,0
170,apache/stdcxx,1,5/19/2005,11/14/2007,0,0,,0,0,0,0,0,0,0,0,0
171,apache/Storm,1,9/18/2013,9/17/2014,0,0,,0,0,0,0,0,0,0,0,0
172,apache/Stratos,1,6/20/2013,5/21/2014,0,0,,0,0,0,0,0,0,0,0,0
173,apache/Streams,1,11/20/2012,7/19/2017,0,0,,0,0,0,0,0,0,0,0,0
174,apache/Subversion,1,11/7/2009,2/17/2010,0,0,,0,0,0,0,0,0,0,0,0
175,apache/Superset,1,5/21/2017,11/19/2020,0,0,,0,0,0,0,0,0,0,0,0
176,apache/Synapse,1,8/22/2005,1/2/2007,0,0,,0,0,0,0,0,0,0,0,0
177,apache/Syncope,1,2/10/2012,11/21/2012,0,0,,0,0,0,0,0,0,0,0,0
178,apache/SystemML,1,11/2/2015,5/18/2017,0,0,,0,0,0,0,0,0,0,0,0
179,apache/Tajo,1,3/7/2013,4/1/2014,0,0,,0,0,0,0,0,0,0,0,0
180,apache/tapestry-5,1,4/1/2003,5/29/2003,0,0,,0,0,0,0,0,0,0,0,0
181,apache/phoenix-tephra,1,3/7/2016,11/15/2019,0,0,,0,0,0,0,0,0,0,0,0
182,apache/Tez,1,2/24/2013,7/16/2014,0,0,,0,0,0,0,0,0,0,0,0
183,apache/Thrift,1,4/18/2008,10/20/2010,0,0,,0,0,0,0,0,0,0,0,0
184,apache/Tika,1,3/22/2007,10/28/2008,0,0,,0,0,0,0,0,0,0,0,0
185,apache/TinkerPop,1,1/16/2015,5/23/2016,0,0,,0,0,0,0,0,0,0,0,0
186,apache/myfaces-tobago,1,10/27/2005,3/23/2006,0,0,,0,0,0,0,0,0,0,0,0
187,apache/trafficcontrol,1,7/12/2016,5/16/2018,0,0,,0,0,0,0,0,0,0,0,0
