,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor
152,apache/Rya,1,2015/9/18,2019/9/18,307,0,2015-11-22 21:20:54,0,0,1238,2177,460,101,78,8748,26
153,apache/Samza,1,2013/7/30,2015/1/21,1505,0,2015-04-15 08:41:15,0,0,1851,15928,2409,705,294,33225,124
154,apache/Sanselan,1,2007/9/9,2009/6/30,1,0,2012-04-25 18:29:12,0,0,0,0,315,33,16,30783,5
155,apache/Sentry,1,2013/8/8,2016/3/16,2,0,2017-07-13 12:06:36,0,0,2,0,1542,113,81,10594,25
156,apache/servicecomb-java-chassis,1,2017/11/22,2018/10/17,1647,0,2017-05-19 02:59:14,0,0,5368,3859,3056,1730,730,18218,101
157,apache/ServiceMix,1,2005/12/1,2007/9/19,53,0,2014-03-31 11:19:40,0,0,25,0,407,136,156,4543,18
158,apache/ShardingSphere,1,2018/11/10,2020/4/16,7776,0,2016-01-31 13:13:18,0,0,25295,5613,30664,14810,5128,434223,315
159,apache/Shindig,1,2007/12/3,2010/1/21,1,0,2012-08-31 17:45:04,0,0,3,0,4786,66,65,18767,10
160,apache/Shiro,1,2008/5/20,2010/9/22,297,0,2012-07-16 17:40:27,0,0,929,277,2203,3654,2115,25957,53
161,apache/SINGA,1,2015/3/17,2019/10/16,811,0,2015-05-16 16:19:28,0,0,1647,1276,2360,2380,703,19708,56
162,apache/SIS,1,2010/2/21,2012/9/19,22,0,2016-08-06 19:28:04,0,0,57,69,7492,76,43,65176,7
163,apache/SkyWalking,1,2017/12/8,2019/4/17,3844,0,2016-03-28 12:26:24,0,0,26409,10055,6824,18085,5337,161190,378
164,apache/Sling,1,2007/9/9,2009/6/17,262,0,2013-02-28 16:02:41,0,0,251,192,4,221,267,86054,2
165,apache/Solr,1,2006/1/17,2007/1/17,328,0,2021-03-10 13:49:36,0,0,768,2008,35394,220,163,456997,257
166,apache/SpamAssassin,1,2003/12/20,2004/6/23,2,0,2015-03-23 15:57:19,0,0,3,0,26506,199,58,76558,4
167,apache/Spark,1,2013/6/19,2014/2/19,0,0,,0,0,0,0,0,0,0,0,0
168,apache/Sqoop,1,2011/6/13,2012/3/21,64,0,2012-06-15 00:33:26,0,0,115,104,969,862,532,18789,23
169,apache/Stanbol,1,2010/11/15,2012/9/19,3,0,2015-06-16 10:44:32,0,0,7,0,3404,113,76,83209,9
170,apache/stdcxx,1,2005/5/19,2007/11/14,0,0,,0,0,0,0,2185,51,26,15270,2
171,apache/Storm,1,2013/9/18,2014/9/17,3375,0,2013-12-11 18:27:00,0,0,14429,12199,10461,6294,4076,205453,281
172,apache/Stratos,1,2013/6/20,2014/5/21,498,0,2014-06-22 10:01:36,0,0,348,440,8951,152,111,67395,49
173,apache/Streams,1,2012/11/20,2017/7/19,514,0,2014-04-22 17:49:34,0,0,673,592,1781,69,42,147991,17
174,apache/Subversion,1,2009/11/7,2010/2/17,12,0,2012-05-24 08:12:15,0,0,17,0,60016,464,157,206681,36
175,apache/Superset,1,2017/5/21,2020/11/19,9393,0,2015-07-23 06:12:26,0,0,40000,20491,8584,40000,8095,282036,440
176,apache/Synapse,1,2005/8/22,2007/1/2,46,0,2015-07-21 23:13:55,0,0,23,15,4242,39,48,44227,12
177,apache/Syncope,1,2012/2/10,2012/11/21,289,0,2014-10-31 12:18:54,0,0,493,831,7560,157,134,60556,33
178,apache/SystemML,1,2015/11/2,2017/5/18,1428,0,2015-11-20 21:50:07,0,0,5437,2794,7577,881,405,328077,123
179,apache/Tajo,1,2013/3/7,2014/4/1,1023,0,2014-03-26 21:43:07,0,0,3267,1845,2275,129,111,30703,30
180,tapestry-5/pulls,1,2003/4/1,2003/5/29,0,0,,0,0,0,0,0,0,0,0,0
181,apache/phoenix-tephra,1,2016/3/7,2019/11/15,0,0,,0,0,0,0,0,0,0,0,0
182,apache/Tez,1,2013/2/24,2014/7/16,0,0,,0,0,0,0,0,0,0,0,0
183,apache/Thrift,1,2008/4/18,2010/10/20,0,0,,0,0,0,0,0,0,0,0,0
184,apache/Tika,1,2007/3/22,2008/10/28,0,0,,0,0,0,0,0,0,0,0,0
185,apache/TinkerPop,1,2015/1/16,2016/5/23,0,0,,0,0,0,0,0,0,0,0,0
186,apache/myfaces-tobago,1,2005/10/27,2006/3/23,0,0,,0,0,0,0,0,0,0,0,0
187,apache/trafficcontrol,1,2016/7/12,2018/5/16,0,0,,0,0,0,0,0,0,0,0,0
188,apache/trafficserver,1,2009/7/13,2010/4/21,0,0,,0,0,0,0,0,0,0,0,0
189,apache/Trafodion,1,2015/5/24,2017/12/20,0,0,,0,0,0,0,0,0,0,0,0
190,apache/TVM,1,2019/3/6,2020/11/18,0,0,,0,0,0,0,0,0,0,0,0
191,apache/Twill,1,2013/11/14,2016/6/15,0,0,,0,0,0,0,0,0,0,0,0
192,apache/uima-uimafit,1,2006/10/23,2010/3/18,0,0,,0,0,0,0,0,0,0,0,0
193,apache/Unomi,1,2015/10/5,2019/2/20,0,0,,0,0,0,0,0,0,0,0,0
194,apache/Usergrid,1,2013/10/3,2015/8/19,0,0,,0,0,0,0,0,0,0,0,0
195,apache/VCL,1,2008/10/6,2012/6/20,0,0,,0,0,0,0,0,0,0,0,0
196,apache/VXQuery,1,2009/7/6,2014/7/16,0,0,,0,0,0,0,0,0,0,0,0
197,apache/Whirr,1,2010/5/11,2011/8/17,0,0,,0,0,0,0,0,0,0,0,0
198,apache/Wicket,1,2006/8/28,2007/6/20,0,0,,0,0,0,0,0,0,0,0,0
199,apache/Wink,1,2009/5/27,2012/12/19,0,0,,0,0,0,0,0,0,0,0,0
200,apache/Wookie,1,2009/7/17,2012/11/22,0,0,,0,0,0,0,0,0,0,0,0
