,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor
126,apache/climate,1,2/15/2013,2/19/2014,527,0,2014-03-08 21:01:56,0,0,1925,101,2241,134,112,35741,24
133,apache/OpenWhisk,1,11/23/2016,7/17/2019,3195,0,2016-02-19 19:19:23,0,0,17539,11526,2928,5458,1051,68282,188
134,apache/parquet-cpp,1,5/20/2014,4/22/2015,496,0,2014-10-28 19:15:35,0,0,1812,2481,502,360,184,2700,28
136,apache/Phoenix,1,12/11/2013,5/21/2014,1083,0,2014-07-04 10:53:05,0,0,3374,8233,3573,904,922,72459,109
138,apache/Pinot,1,10/17/2018,7/21/2021,6488,0,2014-11-10 22:32:53,0,0,11092,28950,8339,3651,784,229062,187
140,apache/PLC4X,1,12/18/2017,4/17/2019,269,0,2018-01-08 16:52:23,0,0,401,558,4412,420,176,134791,47
142,apache/PredictionIO,1,5/26/2016,10/18/2017,407,0,2013-10-24 11:09:37,0,0,905,370,4495,12519,2021,36295,133
143,apache/Pulsar,1,6/1/2017,9/19/2018,8379,0,2016-09-07 18:52:22,0,0,38584,19962,7755,9857,2472,1326009,408
145,apache/Ranger,1,7/24/2014,1/18/2017,38,0,2015-01-08 07:54:01,0,0,162,15,3707,552,570,102045,79
147,apache/Ratis,1,1/3/2017,2/17/2021,502,0,2018-05-23 06:29:43,0,0,1190,1278,1202,593,214,7243,53
149,apache/REEF,1,8/12/2014,11/18/2015,1496,0,2014-10-23 16:36:08,0,0,9098,12700,3875,95,104,40208,67
150,apache/RocketMQ,1,11/21/2016,9/20/2017,1542,0,2016-12-21 10:23:46,0,0,8527,1808,1844,15836,8794,10864,287
152,apache/Rya,1,9/18/2015,9/18/2019,307,0,2015-11-22 21:20:54,0,0,1238,2177,460,101,78,8748,26
153,apache/Samza,1,7/30/2013,1/21/2015,1506,0,2015-04-15 08:41:15,0,0,1851,15928,2410,705,294,33226,124
156,apache/servicecomb-java-chassis,1,11/22/2017,10/17/2018,1647,0,2017-05-19 02:59:14,0,0,5370,3859,3056,1733,730,18218,101
158,apache/ShardingSphere,1,11/10/2018,4/16/2020,7786,0,2016-01-31 13:13:18,0,0,25329,5619,30672,14814,5129,434276,315
